Condition1,Exterior1st,Exterior2nd,Fireplaces,FireplaceQu
Norm,Plywood,Plywood,1,TA,E1
Norm,VinylSd,VinylSd,1,TA,E1
PosN,HdBoard,HdBoard,1,Gd,E1
Feedr,HdBoard,Plywood,1,TA,E1
Norm,MetalSd,MetalSd,0,NA,E1
Norm,CemntBd,CmentBd,0,NA,E1
Norm,VinylSd,VinylSd,1,TA,E1
Norm,VinylSd,VinylSd,0,NA,E1
Norm,MetalSd,MetalSd,2,Gd,E1
Norm,VinylSd,VinylSd,1,TA,E1
Norm,VinylSd,VinylSd,0,NA,E1
Norm,VinylSd,VinylSd,0,NA,E1
Norm,VinylSd,VinylSd,0,NA,E1
Norm,Plywood,Plywood,1,TA,E1
Norm,VinylSd,VinylSd,1,Gd,E1
Norm,Plywood,Plywood,2,Gd,E1
Norm,HdBoard,HdBoard,0,NA,E1
Norm,VinylSd,VinylSd,1,Gd,E1
Norm,VinylSd,VinylSd,1,TA,E1
Norm,Stone,Stone,1,Gd,E1
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,BrkFace,Stucco,2,Gd,E2
Norm,VinylSd,VinylSd,0,NA,E2
Norm,VinylSd,VinylSd,1,TA,E2
RRAn,VinylSd,VinylSd,1,Gd,E2
Norm,VinylSd,VinylSd,0,NA,E2
Norm,VinylSd,VinylSd,1,TA,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,MetalSd,MetalSd,2,Gd,E2
Norm,VinylSd,VinylSd,1,TA,E2
Norm,VinylSd,VinylSd,1,TA,E2
Feedr,VinylSd,VinylSd,0,NA,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,BrkFace,Plywood,2,Gd,E2
Norm,HdBoard,HdBoard,1,TA,E2
Norm,HdBoard,HdBoard,1,TA,E2
Feedr,Wd Sdng,Stucco,1,Gd,E2
Norm,Wd Sdng,Wd Sdng,1,Gd,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,VinylSd,VinylSd,1,TA,E2
Norm,VinylSd,VinylSd,1,Ex,E2
Norm,VinylSd,VinylSd,0,NA,E2
Norm,VinylSd,VinylSd,1,TA,E2
Norm,CemntBd,CmentBd,0,NA,E2
PosN,Wd Sdng,Wd Sdng,1,Gd,E2
Norm,WdShing,Wd Shng,1,Gd,E2
Norm,BrkFace,BrkFace,2,TA,E2
Norm,MetalSd,MetalSd,2,TA,E2
Feedr,VinylSd,VinylSd,1,Gd,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,VinylSd,VinylSd,0,NA,E2
Norm,BrkFace,BrkFace,2,Gd,E2
Norm,VinylSd,VinylSd,0,NA,E2
Norm,VinylSd,VinylSd,1,TA,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,BrkFace,BrkFace,1,Gd,E2
Norm,MetalSd,MetalSd,0,NA,E2
Norm,VinylSd,VinylSd,0,NA,E2
Norm,CemntBd,CmentBd,0,NA,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,MetalSd,MetalSd,1,Gd,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,CemntBd,CmentBd,1,Gd,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,CemntBd,CmentBd,2,TA,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,HdBoard,HdBoard,1,TA,E2
Norm,VinylSd,VinylSd,1,TA,E2
Norm,VinylSd,VinylSd,1,TA,E2
Norm,HdBoard,HdBoard,1,Ex,E2
Norm,VinylSd,VinylSd,1,Gd,E2
RRAn,VinylSd,VinylSd,0,NA,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,MetalSd,MetalSd,1,Ex,E2
Norm,VinylSd,VinylSd,1,TA,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,BrkFace,BrkFace,1,Gd,E2
Norm,CemntBd,CmentBd,2,Gd,E2
PosN,HdBoard,HdBoard,1,TA,E2
Norm,VinylSd,VinylSd,1,TA,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,Plywood,Plywood,1,Gd,E2
Norm,Wd Sdng,Wd Sdng,1,TA,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,HdBoard,HdBoard,1,TA,E2
Norm,VinylSd,VinylSd,1,TA,E2
Norm,VinylSd,VinylSd,1,Gd,E2
Norm,CemntBd,CmentBd,1,Gd,E2
Norm,Wd Sdng,HdBoard,2,TA,E2
Norm,CemntBd,CmentBd,1,Ex,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,MetalSd,MetalSd,1,Gd,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,1,TA,E3
Norm,HdBoard,HdBoard,1,TA,E3
Norm,CemntBd,CmentBd,1,Gd,E3
Norm,VinylSd,VinylSd,1,TA,E3
Norm,CemntBd,CmentBd,1,Gd,E3
Norm,BrkFace,Wd Sdng,2,TA,E3
Norm,VinylSd,VinylSd,1,TA,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,CemntBd,CmentBd,1,Ex,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,2,TA,E3
Norm,HdBoard,HdBoard,1,TA,E3
Norm,Plywood,Plywood,2,TA,E3
Norm,Wd Sdng,Wd Sdng,1,Ex,E3
Norm,CemntBd,CmentBd,1,Gd,E3
Norm,CemntBd,CmentBd,0,NA,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,1,Ex,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,1,TA,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,Other,1,TA,E3
Norm,MetalSd,MetalSd,1,Gd,E3
Norm,Plywood,Plywood,2,TA,E3
Norm,CemntBd,CmentBd,1,Gd,E3
Norm,VinylSd,VinylSd,2,Ex,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,Wd Sdng,Wd Sdng,0,NA,E3
Norm,MetalSd,MetalSd,1,TA,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,CemntBd,CmentBd,1,Gd,E3
Norm,CemntBd,CmentBd,1,Gd,E3
Norm,VinylSd,VinylSd,1,TA,E3
Norm,WdShing,Wd Shng,2,Gd,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,3,Ex,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,MetalSd,MetalSd,1,Gd,E3
Norm,VinylSd,VinylSd,2,Gd,E3
Norm,CemntBd,CmentBd,1,Gd,E3
Norm,BrkFace,BrkFace,2,Gd,E3
Norm,VinylSd,VinylSd,2,Gd,E3
Norm,Stucco,CmentBd,1,Gd,E3
Norm,Stucco,Stucco,2,Gd,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,1,Ex,E3
Norm,CemntBd,CmentBd,1,Gd,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,1,TA,E3
Norm,VinylSd,VinylSd,1,Ex,E3
Norm,BrkFace,BrkFace,1,Gd,E3
Norm,CemntBd,CmentBd,2,Ex,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,1,Ex,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,1,Gd,E3
Norm,VinylSd,VinylSd,2,Gd,E3
Artery,Wd Sdng,Wd Sdng,2,TA,E3
Norm,VinylSd,VinylSd,2,Gd,E3
Norm,VinylSd,VinylSd,2,Gd,E3
Norm,CemntBd,CmentBd,1,Gd,E3

