MSSubClass,LotFrontage,LotShape,LotConfig,KitchenQual
20,[85-105],IR1,Corner,Gd,E3
50,[85-105],Reg,Inside,Gd,E3
120,[22-42],Reg,Inside,Ex,E3
60,0,Reg,Inside,Gd,E3
20,[64-84],Reg,Inside,Ex,E3
20,[85-105],IR1,Inside,TA,E3
60,[64-84],IR1,Inside,Gd,E3
60,[85-105],IR1,CulDSac,Gd,E3
75,[85-105],Reg,Inside,Gd,E3
20,[43-63],IR1,Inside,Ex,E3
20,[64-84],Reg,Inside,Gd,E3
60,0,IR1,Inside,Gd,E3
20,[85-105],IR1,Corner,Gd,E3
20,0,IR2,CulDSac,Gd,E3
60,0,IR1,Inside,Gd,E3
60,[64-84],Reg,Inside,Ex,E3
20,[64-84],Reg,Inside,Gd,E3
60,[106-126],Reg,Inside,Gd,E3
60,[85-105],Reg,Inside,Ex,E3
20,[85-105],Reg,Inside,Ex,E3
60,[85-105],IR1,Inside,Gd,E3
60,[64-84],Reg,Inside,Gd,E3
20,[64-84],IR1,Inside,Gd,E3
120,[43-63],Reg,Inside,Ex,E3
60,[85-105],Reg,Corner,Gd,E3
20,[85-105],IR1,Inside,Ex,E3
20,[106-126],IR1,Corner,Ex,E3
60,[85-105],IR1,Corner,Gd,E3
60,[85-105],Reg,Inside,Ex,E3
20,[85-105],IR1,FR2,Gd,E3
60,[64-84],Reg,Inside,Gd,E3
120,[43-63],IR1,CulDSac,Gd,E3
60,[85-105],IR1,Inside,Ex,E3
60,[64-84],Reg,Inside,Gd,E3
20,[85-105],Reg,FR2,Ex,E3
60,[85-105],IR1,Corner,Gd,E3
60,0,IR1,Inside,Gd,E3
60,[85-105],IR1,Inside,Ex,E3
60,[64-84],Reg,Inside,Ex,E3
20,[85-105],IR1,Inside,Ex,E3
60,[64-84],IR1,Inside,Ex,E3
120,[64-84],Reg,Corner,Ex,E3
20,[85-105],Reg,Inside,Gd,E3
20,[85-105],Reg,Inside,Ex,E3
20,[148-168],IR3,Inside,TA,E3
20,[22-42],IR1,CulDSac,Ex,E3
20,[85-105],IR1,Inside,Ex,E3
50,0,IR1,Inside,Gd,E3
60,[64-84],Reg,Inside,Ex,E3
20,[85-105],Reg,Inside,Ex,E3
120,[64-84],IR1,Inside,Gd,E3
20,[85-105],Reg,FR2,Ex,E3
60,[169-189],IR1,Inside,Ex,E3
60,[85-105],Reg,Inside,Ex,E3
20,0,IR1,Inside,Gd,E3
60,[43-63],IR2,Inside,Ex,E3
60,[64-84],IR2,CulDSac,Gd,E3
20,[106-126],IR1,Inside,Gd,E3
60,[64-84],IR1,Inside,Ex,E3
20,[106-126],Reg,Inside,Ex,E3
20,0,Reg,Inside,Ex,E3
75,[85-105],IR2,Inside,Ex,E3
60,[85-105],Reg,Inside,Ex,E3
20,[85-105],Reg,Inside,Ex,E3
60,[85-105],IR1,Inside,Ex,E3

