BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,BsmtFullBath,BsmtHalfBath
TA,TA,Gd,GLQ,[505-756],Rec,[253-378],[261-520],1,0,M3
Gd,TA,Av,Unf,0,Unf,0,[781-1040],0,0,M3
TA,TA,No,ALQ,[505-756],Unf,0,[261-520],0,0,M3
TA,TA,Av,GLQ,[505-756],Unf,0,[261-520],1,0,M3
Gd,TA,No,GLQ,[1-252],Unf,0,[1041-1300],0,0,M3
Gd,TA,No,Unf,0,Unf,0,[261-520],0,0,M3
TA,TA,Mn,ALQ,[253-504],Rec,[1009-1134],[261-520],1,0,M3
Gd,TA,No,Unf,0,Unf,0,[1041-1300],0,0,M3
Gd,TA,Gd,GLQ,[757-1008],LwQ,[127-252],0,1,0,M3
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M3
TA,TA,Av,ALQ,[505-756],Unf,0,[521-780],1,0,M3
TA,TA,No,ALQ,[505-756],LwQ,[253-378],[261-520],0,1,M3
TA,TA,Av,ALQ,[505-756],LwQ,[127-252],[1-260],0,1,M3
Gd,TA,No,GLQ,[505-756],Unf,0,[261-520],1,0,M3
TA,TA,No,ALQ,[1-252],BLQ,[379-504],[521-780],1,0,M3
Gd,TA,No,GLQ,[253-504],Unf,0,[261-520],0,0,M3
TA,TA,No,LwQ,[1-252],Rec,[379-504],[1-260],0,0,M3
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M3
Gd,TA,Av,GLQ,[505-756],Unf,0,[521-780],1,0,M3
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,M3
TA,TA,No,GLQ,[253-504],Rec,[1-126],[261-520],0,1,M3
Gd,TA,No,GLQ,[757-1008],Unf,0,[1-260],1,0,M3
Gd,TA,Av,GLQ,[253-504],Unf,0,[261-520],0,0,M3
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M3
Gd,TA,Av,Unf,0,Unf,0,[521-780],0,0,M3
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M3
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M3
TA,TA,No,Unf,0,Unf,0,[1301-1560],1,0,M3
TA,TA,No,Rec,[253-504],Unf,0,[261-520],0,0,M3
TA,TA,Gd,Rec,[253-504],ALQ,[505-630],[261-520],1,0,M3
Gd,TA,Mn,GLQ,[757-1008],Unf,0,[261-520],1,0,M3
Gd,TA,Av,GLQ,[757-1008],Unf,0,[521-780],1,0,M3
Gd,TA,Av,ALQ,[253-504],Unf,0,[1-260],0,1,M3
Gd,TA,Av,ALQ,[757-1008],LwQ,[1-126],[261-520],0,1,M3
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,M3
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M3
Gd,Gd,No,GLQ,[757-1008],LwQ,[1-126],[1-260],1,0,M3
Gd,Gd,No,Unf,0,Unf,0,[1041-1300],0,0,M3
Gd,TA,No,GLQ,[1009-1260],Unf,0,[1-260],1,0,M3
Gd,TA,No,GLQ,[1-252],Unf,0,[1041-1300],0,0,M3
Gd,TA,No,GLQ,[253-504],Unf,0,[261-520],0,0,M3
Gd,TA,No,GLQ,[253-504],Unf,0,[261-520],0,0,M3
Ex,Gd,Av,Unf,0,Unf,0,[521-780],0,0,M3
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,M3
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,M3
Gd,TA,No,Unf,0,Unf,0,[1041-1300],0,0,M3
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M3
Gd,TA,No,Unf,0,Unf,0,[1301-1560],0,0,M3
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,M3
Gd,Gd,Gd,GLQ,[1009-1260],Unf,0,0,3,0,M3
Gd,TA,No,Unf,0,Unf,0,[1301-1560],0,0,M3
Gd,TA,No,GLQ,[253-504],Unf,0,[1041-1300],1,0,M3
Gd,TA,No,GLQ,[1009-1260],Unf,0,[1-260],1,0,M3
Gd,TA,No,ALQ,[505-756],Unf,0,[1-260],0,0,M4
TA,TA,No,LwQ,[253-504],Unf,0,[261-520],0,0,M4
Gd,TA,Av,Unf,0,Unf,0,[521-780],0,0,M4
Gd,TA,No,ALQ,[505-756],Unf,0,[1-260],1,0,M4
TA,TA,Gd,ALQ,[505-756],Unf,0,[521-780],0,1,M4
Gd,TA,Gd,GLQ,[757-1008],Unf,0,[781-1040],1,0,M4
TA,TA,Gd,ALQ,[757-1008],Unf,0,0,1,0,M4
TA,TA,No,Rec,[505-756],Unf,0,[781-1040],0,0,M4
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,M4
Gd,TA,No,ALQ,[505-756],Unf,0,[521-780],0,1,M4
Gd,TA,No,ALQ,[1009-1260],Unf,0,[1-260],1,0,M4
TA,TA,No,BLQ,[253-504],Unf,0,[781-1040],0,0,M4
TA,TA,No,Unf,0,Unf,0,[521-780],0,0,M4
TA,TA,Av,GLQ,[1009-1260],Unf,0,[1-260],1,0,M4
Gd,Fa,No,Unf,0,Unf,0,[1301-1560],0,0,M4
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,M4
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,M4
Gd,TA,Gd,ALQ,[757-1008],Unf,0,[261-520],0,1,M4
TA,TA,No,BLQ,[505-756],Rec,[127-252],[261-520],0,1,M4
Gd,TA,No,Unf,0,Unf,0,[1301-1560],0,0,M4
Gd,TA,No,BLQ,[505-756],Unf,0,[521-780],0,0,M4
Gd,TA,No,GLQ,[253-504],Unf,0,[261-520],1,0,M4
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,M4
TA,TA,No,Rec,[253-504],Unf,0,[521-780],1,0,M4
Gd,TA,Av,GLQ,[505-756],Unf,0,[1-260],1,0,M4
Ex,TA,Gd,GLQ,[2017-2268],Unf,0,[781-1040],1,0,M4
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,M4
TA,Gd,Gd,LwQ,[1-252],ALQ,[757-882],0,0,1,M4
Gd,TA,Mn,GLQ,[505-756],Unf,0,[521-780],1,0,M4
TA,TA,No,ALQ,[253-504],Unf,0,[261-520],0,0,M4
Gd,TA,Av,GLQ,[1-252],Unf,0,[1301-1560],0,0,M4
TA,TA,No,Unf,0,Unf,0,[1301-1560],0,0,M4
TA,TA,Gd,Rec,[1009-1260],Unf,0,[261-520],1,0,M4
Gd,TA,No,GLQ,[253-504],Unf,0,[261-520],0,0,M4
Gd,TA,No,Unf,0,Unf,0,[1301-1560],0,0,M4
Gd,TA,Av,GLQ,[1009-1260],Unf,0,[261-520],1,0,M4
Gd,TA,No,ALQ,[505-756],Unf,0,[1-260],0,0,M4
Gd,TA,No,GLQ,[1-252],Unf,0,[521-780],1,0,M4
Gd,TA,No,GLQ,[253-504],Unf,0,[261-520],1,0,M4
TA,TA,No,LwQ,[253-504],Unf,0,[261-520],0,0,M4
Gd,TA,Av,GLQ,[505-756],Unf,0,[1-260],1,0,M4
Gd,TA,No,GLQ,[1-252],Unf,0,[1301-1560],0,0,M4
TA,TA,No,Unf,0,Unf,0,[781-1040],0,0,M4
Gd,TA,No,BLQ,[505-756],Unf,0,[1041-1300],0,0,M4
Gd,TA,Gd,GLQ,[1009-1260],Unf,0,[261-520],1,0,M4
TA,TA,No,ALQ,[1-252],Rec,[631-756],[521-780],0,0,M4
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,M4
Gd,TA,Av,GLQ,[1-252],Unf,0,[1301-1560],0,0,M4
TA,TA,Av,Rec,[757-1008],Unf,0,[781-1040],0,1,M4
Gd,TA,No,Unf,0,Unf,0,[1301-1560],0,0,M4
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,M4
Gd,Gd,No,GLQ,[1-252],Unf,0,[1301-1560],0,0,M4
Ex,TA,No,Unf,0,Unf,0,[521-780],0,0,M4
Gd,TA,No,BLQ,[253-504],Unf,0,[521-780],0,0,M4
Gd,TA,No,GLQ,[1-252],Unf,0,[1041-1300],0,0,M4
Gd,TA,Av,GLQ,[1-252],Unf,0,[1301-1560],0,0,M4
Gd,TA,NA,Unf,0,Unf,0,[781-1040],0,0,M4
Gd,TA,No,LwQ,[1-252],GLQ,[757-882],[521-780],1,0,M4
TA,TA,No,GLQ,[757-1008],Unf,0,[1-260],1,0,M4
Gd,TA,No,Rec,[253-504],Unf,0,[261-520],0,0,M4
Gd,Gd,Av,Unf,0,Unf,0,[1041-1300],0,0,M4
Gd,TA,Av,Unf,0,Unf,0,[1041-1300],0,0,M4
Gd,TA,Gd,ALQ,[505-756],Rec,[379-504],[261-520],1,0,M4
Gd,TA,Av,GLQ,[505-756],Unf,0,[261-520],1,0,M4
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,M4
Gd,TA,Av,ALQ,[1-252],Unf,0,[1301-1560],0,0,M4
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,M4
Gd,TA,No,GLQ,[505-756],Unf,0,[521-780],1,0,M4
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,M4
Gd,TA,No,GLQ,[253-504],Unf,0,[521-780],0,0,M4
Gd,TA,No,GLQ,[1009-1260],Unf,0,[1-260],1,0,M4
TA,TA,No,ALQ,[253-504],Unf,0,[261-520],1,0,M4
NA,NA,NA,NA,0,NA,0,0,0,0,M4
Gd,TA,No,GLQ,[1009-1260],Unf,0,[1-260],1,0,E1
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,E1
Gd,TA,Av,GLQ,[253-504],Unf,0,[1301-1560],1,0,E1
Gd,TA,Av,Unf,0,Unf,0,[1301-1560],0,0,E1
Gd,TA,No,GLQ,[505-756],Unf,0,[261-520],0,0,E1
TA,TA,No,Rec,[1-252],BLQ,[379-504],[781-1040],0,0,E1
TA,TA,No,Rec,[1009-1260],Unf,0,[781-1040],1,0,E1
Gd,Gd,No,GLQ,[757-1008],Unf,0,[1-260],0,1,E1
Gd,Gd,Mn,GLQ,[1-252],Unf,0,[1301-1560],0,0,E1
Gd,TA,Mn,ALQ,[1-252],Unf,0,[781-1040],1,0,E1
Gd,TA,Gd,GLQ,[505-756],Unf,0,[781-1040],1,0,E1
Gd,TA,No,GLQ,[757-1008],Unf,0,[261-520],1,0,E1
Ex,TA,No,ALQ,[505-756],Unf,0,[1-260],1,0,E1
Gd,TA,Mn,Unf,0,Unf,0,[1301-1560],0,0,E1
TA,TA,Mn,ALQ,[1009-1260],Unf,0,[261-520],1,0,E1
Gd,TA,No,GLQ,[505-756],Unf,0,[1-260],1,0,E1
Gd,TA,Av,GLQ,[505-756],Unf,0,[261-520],1,0,E1
Fa,TA,Mn,ALQ,[253-504],LwQ,[253-378],[1-260],0,0,E1
Gd,TA,Av,GLQ,[505-756],Unf,0,[521-780],1,0,E1
TA,TA,Gd,BLQ,[1261-1512],Unf,0,[1-260],1,0,E1
Gd,TA,Mn,GLQ,[757-1008],LwQ,[127-252],[1-260],1,0,E1
Gd,TA,No,BLQ,[505-756],LwQ,[1009-1134],0,1,0,E1
Gd,TA,No,GLQ,[1-252],Unf,0,[1041-1300],0,0,E1
Ex,Gd,No,Unf,0,Unf,0,[1301-1560],0,0,E1
Gd,TA,No,GLQ,[505-756],Unf,0,[261-520],1,0,E1
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,E1
Gd,TA,No,Rec,[253-504],Unf,0,[521-780],0,0,E1
Gd,TA,Mn,GLQ,[505-756],Unf,0,[1-260],1,0,E1
Gd,TA,Av,GLQ,[1-252],Unf,0,[781-1040],0,0,E1
Gd,TA,No,Unf,0,Unf,0,[1561-1820],0,0,E1
Ex,TA,No,LwQ,[1-252],GLQ,[1009-1134],[261-520],1,0,E1
Gd,TA,Av,Unf,0,Unf,0,[781-1040],0,0,E1
Gd,TA,Av,GLQ,[757-1008],Unf,0,[521-780],1,0,E1
Gd,TA,No,GLQ,[1-252],Unf,0,[1301-1560],0,0,E1
Gd,TA,No,GLQ,[505-756],Unf,0,[1-260],1,0,E1
TA,Gd,Gd,BLQ,[505-756],Unf,0,[261-520],1,0,E1
Ex,TA,No,ALQ,[505-756],Unf,0,[1-260],1,0,E1
Gd,TA,Gd,Unf,0,Unf,0,[1041-1300],0,0,E1
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,E1
Gd,TA,No,GLQ,[505-756],Unf,0,[261-520],1,0,E1
Gd,TA,Mn,ALQ,[1261-1512],LwQ,[127-252],0,1,0,E1
Gd,TA,Gd,ALQ,[1009-1260],Unf,0,[261-520],1,0,E1
Gd,TA,No,GLQ,[505-756],Unf,0,[261-520],1,0,E1
Ex,TA,No,GLQ,[757-1008],Unf,0,[261-520],1,0,E1
Gd,TA,Mn,BLQ,[1009-1260],Unf,0,[261-520],0,0,E1
Gd,TA,No,GLQ,[1261-1512],Unf,0,[261-520],1,0,E1
Gd,TA,Mn,GLQ,[757-1008],Unf,0,[1-260],1,0,E1
TA,TA,Mn,Rec,[253-504],LwQ,[505-630],0,0,0,E1
Gd,TA,No,Unf,0,Unf,0,[1041-1300],0,0,E1
Ex,TA,Av,GLQ,[505-756],Unf,0,[781-1040],1,0,E1
Gd,TA,No,GLQ,[757-1008],Unf,0,[1-260],1,0,E1
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,E1
Gd,TA,Av,ALQ,[1-252],Unf,0,[781-1040],0,0,E1
TA,TA,Av,Rec,[1009-1260],Unf,0,[521-780],1,0,E1
Gd,TA,Mn,GLQ,[253-504],Unf,0,[261-520],1,0,E1
TA,TA,No,BLQ,[505-756],Unf,0,[521-780],1,0,E1
Gd,TA,No,ALQ,[505-756],Unf,0,0,1,0,E1
TA,Gd,No,GLQ,[505-756],Unf,0,[261-520],1,0,E1
Gd,TA,Av,Unf,0,Unf,0,[1301-1560],0,0,E1
Gd,TA,No,GLQ,[505-756],Unf,0,[261-520],0,0,E1
Gd,TA,Av,GLQ,[1009-1260],Unf,0,[261-520],1,0,E1
TA,TA,No,Rec,[253-504],Unf,0,[261-520],0,0,E1
Gd,TA,No,GLQ,[505-756],Unf,0,[261-520],1,0,E1
Gd,TA,No,GLQ,[253-504],Unf,0,[261-520],0,0,E1
Gd,TA,No,GLQ,[757-1008],Unf,0,[781-1040],1,0,E1
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,E1
Gd,TA,No,Unf,0,Unf,0,[1561-1820],0,0,E1
Gd,TA,No,Unf,0,Unf,0,[1041-1300],0,0,E1
TA,TA,Gd,ALQ,[1009-1260],BLQ,[127-252],[1-260],2,0,E1
Gd,Gd,No,GLQ,[757-1008],LwQ,[127-252],0,0,0,E1
Gd,TA,No,Unf,0,Unf,0,[1561-1820],0,0,E1
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,E1
TA,TA,No,ALQ,[253-504],GLQ,[505-630],[1-260],0,0,E1
Gd,TA,No,GLQ,[757-1008],Unf,0,[261-520],1,0,E2
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,E2
Gd,TA,No,GLQ,[757-1008],Unf,0,[1-260],1,0,E2
Gd,TA,No,GLQ,[253-504],Unf,0,[521-780],0,0,E2
Gd,TA,No,GLQ,[1-252],Unf,0,[1301-1560],0,0,E2
Gd,TA,Av,Unf,0,Unf,0,[1561-1820],0,0,E2
Gd,TA,Av,BLQ,[253-504],GLQ,[883-1008],[261-520],1,0,E2
Gd,Gd,No,Unf,0,Unf,0,[1301-1560],0,0,E2
Gd,TA,Av,Unf,0,Unf,0,[1041-1300],0,0,E2
Gd,TA,No,Unf,0,Unf,0,[1041-1300],0,0,E2
Gd,TA,Gd,Unf,0,Unf,0,[1301-1560],0,0,E2
Gd,TA,No,GLQ,[505-756],Unf,0,[1-260],1,0,E2
Gd,TA,No,Unf,0,Unf,0,[1561-1820],0,0,E2
Gd,TA,No,GLQ,[757-1008],Unf,0,[261-520],1,0,E2
TA,TA,Mn,BLQ,[757-1008],Unf,0,[261-520],0,0,E2
Ex,TA,Mn,BLQ,[1-252],GLQ,[631-756],[261-520],1,0,E2
Gd,Gd,No,GLQ,[253-504],Rec,[127-252],[261-520],1,0,E2
Gd,TA,No,BLQ,[1009-1260],Unf,0,[1-260],1,0,E2
Gd,TA,No,Rec,[253-504],Unf,0,[261-520],0,0,E2
Gd,TA,Gd,Unf,0,Unf,0,[1561-1820],0,0,E2
Gd,TA,No,GLQ,[505-756],Unf,0,[521-780],0,0,E2
Ex,TA,No,GLQ,[1261-1512],Unf,0,[1-260],1,0,E2
Gd,Gd,Mn,GLQ,[253-504],Unf,0,[781-1040],0,0,E2
Gd,TA,No,GLQ,[1009-1260],Unf,0,[1-260],1,0,E2
Gd,TA,No,GLQ,[757-1008],Unf,0,[261-520],1,0,E2
Gd,TA,No,Unf,0,Unf,0,[521-780],0,0,E2
TA,Gd,Av,ALQ,[253-504],Unf,0,[521-780],1,0,E2
TA,TA,No,ALQ,[1009-1260],Unf,0,[1041-1300],1,0,E2
TA,TA,Mn,Unf,0,Unf,0,[781-1040],0,0,E2
Gd,TA,No,Unf,0,Unf,0,[1301-1560],0,0,E2
Gd,TA,No,GLQ,[1-252],Unf,0,[1301-1560],0,0,E2
Gd,TA,Av,Unf,0,Unf,0,[1561-1820],0,0,E2
Gd,TA,No,GLQ,[757-1008],Unf,0,[261-520],1,0,E2
Gd,TA,Av,Unf,0,Unf,0,[1561-1820],0,0,E2
Gd,TA,Av,GLQ,[505-756],Unf,0,[261-520],1,0,E2
Ex,TA,No,Unf,0,Unf,0,[1041-1300],0,0,E2
Gd,TA,No,Unf,0,Unf,0,[1561-1820],0,0,E2
Gd,TA,No,Rec,[1-252],Unf,0,[781-1040],0,0,E2
Gd,TA,No,LwQ,[1009-1260],Unf,0,0,0,0,E2
Ex,TA,No,Unf,0,Unf,0,[1301-1560],0,0,E2
Gd,TA,Av,GLQ,[1009-1260],Unf,0,[261-520],1,0,E2
Gd,TA,Mn,Unf,0,Unf,0,[1041-1300],0,0,E2
Gd,TA,Mn,GLQ,[253-504],Unf,0,[521-780],0,0,E2
Gd,TA,No,GLQ,[757-1008],Unf,0,[261-520],1,0,E2
Gd,TA,Mn,GLQ,[757-1008],Unf,0,[1-260],1,0,E2
Ex,TA,Av,Unf,0,Unf,0,[1561-1820],0,0,E2
Gd,TA,Mn,Unf,0,Unf,0,[1041-1300],0,0,E2
Gd,TA,No,Unf,0,Unf,0,[1561-1820],0,0,E2
TA,TA,No,GLQ,[1009-1260],Unf,0,[261-520],1,0,E2
Gd,TA,Av,GLQ,[1261-1512],Unf,0,[1-260],1,0,E2
Gd,TA,Gd,GLQ,[757-1008],Unf,0,[261-520],1,0,E2
Gd,TA,No,GLQ,[757-1008],Unf,0,[781-1040],1,0,E2
Gd,TA,Av,GLQ,[757-1008],Unf,0,[261-520],1,0,E2
Gd,TA,No,GLQ,[1009-1260],Unf,0,[261-520],1,0,E2
Gd,TA,No,Unf,0,Unf,0,[781-1040],0,0,E2
Gd,TA,No,GLQ,[505-756],Unf,0,[261-520],1,0,E2
Gd,TA,Mn,Unf,0,Unf,0,[1041-1300],0,0,E2
Ex,TA,No,GLQ,[1-252],Unf,0,[1561-1820],0,0,E2
Gd,TA,No,GLQ,[253-504],Unf,0,[521-780],0,0,E2
Ex,TA,No,Unf,0,Unf,0,[521-780],0,0,E2
Gd,Gd,Av,LwQ,[253-504],GLQ,[1009-1134],0,1,0,E2
Gd,TA,No,GLQ,[1009-1260],Unf,0,[261-520],1,0,E2
Gd,Gd,No,ALQ,[757-1008],Unf,0,[261-520],1,0,E2
Gd,TA,Av,GLQ,[757-1008],Unf,0,[1-260],1,0,E2
Ex,TA,Av,GLQ,[1009-1260],Unf,0,[521-780],1,0,E2
Gd,TA,Av,Unf,0,Unf,0,[521-780],0,0,E2
Gd,TA,Gd,GLQ,[1513-1764],Unf,0,0,1,1,E2
Gd,TA,Av,GLQ,[505-756],Unf,0,[261-520],1,0,E2
Gd,TA,Gd,GLQ,[1009-1260],Unf,0,[521-780],1,0,E2
Gd,TA,Gd,Unf,0,Unf,0,[1561-1820],0,0,E2
Gd,TA,Mn,Unf,0,Unf,0,[781-1040],0,0,E2
Ex,TA,No,Unf,0,Unf,0,[1301-1560],0,0,E2
Gd,TA,Gd,Rec,[505-756],Unf,0,[521-780],0,1,E2
Gd,TA,No,GLQ,[1009-1260],Unf,0,[261-520],1,0,E3
Gd,TA,Av,Unf,0,Unf,0,[1301-1560],0,0,E3
Ex,TA,Mn,GLQ,[1009-1260],Unf,0,[781-1040],1,0,E3
Gd,Gd,Gd,Unf,0,Unf,0,[1041-1300],0,0,E3
Ex,TA,Gd,GLQ,[1-252],Unf,0,[1561-1820],1,0,E3
Gd,TA,No,GLQ,[757-1008],Unf,0,[1-260],1,0,E3
Gd,TA,Av,GLQ,[1009-1260],Unf,0,[521-780],1,0,E3
Gd,TA,No,GLQ,[505-756],Unf,0,[781-1040],0,0,E3
Ex,TA,Av,GLQ,[1009-1260],Unf,0,[261-520],1,0,E3
Gd,TA,No,Unf,0,Unf,0,[1041-1300],0,0,E3
Gd,TA,No,Unf,0,Unf,0,[1561-1820],0,0,E3
TA,TA,No,ALQ,[1009-1260],Unf,0,[1-260],1,0,E3
Gd,TA,No,GLQ,[505-756],Unf,0,[521-780],0,0,E3
Gd,TA,No,GLQ,[505-756],Unf,0,[521-780],0,0,E3
TA,TA,No,Unf,0,Unf,0,[1301-1560],0,0,E3
Ex,TA,Gd,Unf,0,Unf,0,[1561-1820],1,0,E3
Ex,TA,Gd,GLQ,[1261-1512],Unf,0,[261-520],1,0,E3
TA,Gd,No,GLQ,[505-756],ALQ,[1-126],[261-520],0,1,E3
Gd,TA,Gd,GLQ,[1261-1512],Unf,0,[521-780],1,0,E3
Gd,TA,Gd,GLQ,[1009-1260],Unf,0,[261-520],1,0,E3
Ex,TA,No,GLQ,[253-504],Unf,0,[781-1040],0,0,E3
Gd,TA,Av,GLQ,[1-252],Unf,0,[1041-1300],0,0,E3
Gd,TA,No,GLQ,[1261-1512],Unf,0,[521-780],1,0,E3
Ex,TA,Av,Unf,0,Unf,0,[1041-1300],0,0,E3
Ex,TA,Av,GLQ,[757-1008],Unf,0,[1-260],1,0,E3
Ex,TA,Av,GLQ,[1009-1260],Unf,0,[521-780],1,0,E3
Gd,TA,No,GLQ,[505-756],Unf,0,[521-780],1,0,E3
Ex,TA,Av,Unf,0,Unf,0,[1041-1300],0,0,E3
Gd,TA,Gd,GLQ,[1261-1512],Unf,0,[261-520],1,0,E3
Ex,TA,No,GLQ,[253-504],Unf,0,[1041-1300],1,0,E3
Gd,TA,Mn,GLQ,[1261-1512],Unf,0,[1-260],1,0,E3
Ex,TA,No,GLQ,[1009-1260],Unf,0,[261-520],1,0,E3
Ex,TA,No,GLQ,[1513-1764],Unf,0,[1-260],1,0,E3
Ex,TA,Av,Unf,0,Unf,0,[1041-1300],0,0,E3
Ex,TA,No,GLQ,[1261-1512],Unf,0,[261-520],1,0,E3
Ex,TA,Gd,GLQ,[1261-1512],Unf,0,[521-780],1,0,E3
Ex,TA,Gd,GLQ,[1009-1260],Unf,0,[1-260],1,0,E3
Ex,TA,Av,GLQ,[1009-1260],Unf,0,[261-520],1,0,E3
Ex,TA,Av,GLQ,[757-1008],Unf,0,[1-260],1,0,E3
Gd,TA,Mn,GLQ,[1009-1260],Unf,0,[1-260],1,0,E3
Ex,TA,Gd,GLQ,[1009-1260],Unf,0,[521-780],1,0,E3
Gd,TA,No,Unf,0,Unf,0,[1561-1820],0,0,E3
Gd,TA,Mn,GLQ,[757-1008],Unf,0,[261-520],1,0,E3
Ex,TA,No,GLQ,[757-1008],Unf,0,[1-260],1,0,E3
Ex,TA,No,GLQ,[1009-1260],Unf,0,[261-520],1,0,E3
Ex,TA,Gd,GLQ,[1261-1512],Unf,0,[521-780],1,0,E3
Ex,Gd,No,Unf,0,Unf,0,[1041-1300],0,0,E3
Ex,TA,No,GLQ,[1513-1764],Unf,0,[1-260],1,0,E3
Ex,TA,Gd,GLQ,[1261-1512],Unf,0,[261-520],1,0,E3
Ex,TA,Mn,GLQ,[1009-1260],Unf,0,[521-780],1,0,E3
Gd,TA,Gd,ALQ,[1009-1260],Rec,[757-882],[1-260],2,0,E3
Ex,TA,Gd,GLQ,[1261-1512],Unf,0,[261-520],1,0,E3
Ex,TA,Gd,Unf,0,Unf,0,[1821-2080],0,0,E3
TA,TA,Mn,Rec,[1-252],Unf,0,[521-780],0,0,E3
Ex,TA,Av,GLQ,[757-1008],Unf,0,[261-520],1,0,E3
Ex,TA,Gd,GLQ,[1-252],Unf,0,[2081-2340],0,0,E3
Ex,TA,Gd,GLQ,[1261-1512],Unf,0,[1-260],1,1,E3
Ex,TA,Av,GLQ,[1261-1512],Unf,0,[521-780],1,0,E3
Gd,TA,No,GLQ,[505-756],Unf,0,[521-780],1,0,E3
Ex,TA,Av,GLQ,[1261-1512],Unf,0,[261-520],1,0,E3
Gd,TA,No,GLQ,[1009-1260],Unf,0,[1821-2080],1,0,E3
Ex,TA,No,GLQ,[1261-1512],Unf,0,[261-520],1,0,E3
Ex,TA,Gd,Unf,0,Unf,0,[1301-1560],0,0,E3
Ex,TA,Gd,GLQ,[1261-1512],Unf,0,[521-780],1,0,E3
Ex,TA,Av,GLQ,[1261-1512],Unf,0,[1-260],1,0,E3
Ex,Gd,Gd,GLQ,[1261-1512],Unf,0,[521-780],1,0,E3
Ex,TA,Gd,GLQ,[1261-1512],Unf,0,[1301-1560],1,0,E3
TA,TA,Mn,Unf,0,Unf,0,[1041-1300],0,0,E3
Ex,TA,No,Unf,0,Unf,0,[1821-2080],0,0,E3
Ex,TA,Gd,GLQ,[1765-2016],ALQ,[505-630],[781-1040],1,0,E3
Ex,TA,Av,GLQ,[1-252],Unf,0,[1561-1820],0,0,E3

