Neighborhood,OverallCond,MasVnrType,MasVnrArea,HeatingQC
CollgCr,5,Stone,[155-308],Ex,E3
CollgCr,5,Stone,[309-462],Ex,E3
NWAmes,9,BrkFace,[155-308],Ex,E3
NoRidge,5,BrkFace,[463-616],Ex,E3
ClearCr,5,Stone,[309-462],TA,E3
NoRidge,5,BrkFace,[309-462],Ex,E3
Somerst,5,None,0,Ex,E3
CollgCr,5,Stone,[155-308],Ex,E3
NridgHt,5,Stone,[1-154],Ex,E3
Somerst,5,Stone,[155-308],Ex,E3
Timber,5,BrkFace,[463-616],Ex,E3
NoRidge,5,BrkFace,[463-616],Ex,E3
NridgHt,5,BrkFace,[309-462],Ex,E3
StoneBr,5,BrkFace,[155-308],Ex,E3
NridgHt,5,BrkFace,[309-462],Ex,E3
SawyerW,5,None,0,Gd,E3
Edwards,5,Stone,[309-462],Ex,E3
NridgHt,5,Stone,[155-308],Ex,E3
NridgHt,5,BrkFace,[309-462],Ex,E3
NridgHt,5,Stone,[155-308],Ex,E3
NridgHt,5,BrkFace,[309-462],Ex,E3
ClearCr,5,None,0,Ex,E3
Somerst,5,BrkFace,[1-154],Ex,E3
NridgHt,5,Stone,[1-154],Ex,E3
NoRidge,5,BrkFace,[617-770],Ex,E3
NridgHt,5,Stone,[155-308],Ex,E3
Somerst,5,None,0,Ex,E3
NoRidge,5,BrkFace,[617-770],Ex,E3
NridgHt,5,Stone,[155-308],Ex,E3
NridgHt,5,Stone,[155-308],Ex,E3
NridgHt,5,None,0,Ex,E3
StoneBr,5,BrkFace,[463-616],Ex,E3
NridgHt,5,BrkFace,[617-770],Ex,E3
Timber,5,BrkFace,[155-308],Ex,E3
Somerst,5,Stone,[155-308],Ex,E3
Timber,5,None,0,TA,E3
Gilbert,5,Stone,[155-308],Ex,E3
Timber,5,None,0,Ex,E3
Crawfor,9,BrkFace,[617-770],Ex,E3
CollgCr,5,Stone,[155-308],Ex,E3
NridgHt,5,BrkFace,[771-924],Ex,E3
Crawfor,5,Stone,[155-308],Ex,E3
NridgHt,5,Stone,[309-462],Ex,E3
NoRidge,5,BrkFace,[463-616],Ex,E3
NridgHt,5,Stone,[155-308],Ex,E3
NoRidge,5,None,0,Ex,E3
NridgHt,5,BrkFace,[771-924],Ex,E3
StoneBr,5,BrkFace,[925-1078],Ex,E3
NridgHt,5,BrkFace,[155-308],Ex,E3
NridgHt,5,Stone,[155-308],Ex,E3
NridgHt,5,NA,0,Ex,E3
NoRidge,5,BrkFace,[617-770],Ex,E3
OldTown,9,None,0,Ex,E3
NridgHt,5,Stone,[771-924],Ex,E3
NridgHt,5,Stone,[155-308],Ex,E3
StoneBr,5,Stone,[155-308],Ex,E3

