BldgType,ExterQual,1stFlrSF,2ndFlrSF,BedroomAbvGr
1Fam,Gd,[719-1077],[1213-1414],4,E2
TwnhsE,Gd,[719-1077],[607-808],2,E2
1Fam,TA,[1078-1436],[1213-1414],4,E2
1Fam,TA,[1078-1436],[1011-1212],4,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,Gd,[1078-1436],[809-1010],3,E2
1Fam,Gd,[1437-1795],[607-808],1,E2
1Fam,Gd,[1078-1436],[405-606],3,E2
1Fam,Gd,[1078-1436],[809-1010],3,E2
1Fam,Gd,[1078-1436],[405-606],2,E2
1Fam,Gd,[1796-2154],[1011-1212],5,E2
1Fam,TA,[2155-2513],0,4,E2
1Fam,Gd,[1796-2154],0,3,E2
1Fam,TA,[1078-1436],[1011-1212],4,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,TA,[1437-1795],0,3,E2
1Fam,Gd,[1437-1795],0,3,E2
TwnhsE,Gd,[1078-1436],0,1,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,Gd,[1078-1436],[1011-1212],4,E2
1Fam,Gd,[719-1077],[809-1010],3,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,Gd,[719-1077],[1011-1212],3,E2
1Fam,TA,[1078-1436],[1213-1414],4,E2
1Fam,Gd,[1078-1436],0,3,E2
TwnhsE,Gd,[1437-1795],0,2,E2
1Fam,Gd,[1078-1436],[809-1010],3,E2
1Fam,Gd,[1078-1436],[809-1010],3,E2
TwnhsE,Gd,[1078-1436],0,2,E2
1Fam,Gd,[1078-1436],[809-1010],3,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,Gd,[1078-1436],[1011-1212],4,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,TA,[1796-2154],0,3,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,Gd,[1078-1436],[1213-1414],4,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,Gd,[1078-1436],[405-606],3,E2
1Fam,TA,[1437-1795],[607-808],4,E2
1Fam,Gd,[719-1077],[1011-1212],4,E2
1Fam,Gd,[719-1077],[1011-1212],3,E2
1Fam,Gd,[1078-1436],[809-1010],3,E2
TwnhsE,Ex,[1437-1795],0,2,E2
1Fam,Gd,[1078-1436],[1213-1414],4,E2
1Fam,Gd,[719-1077],[1011-1212],4,E2
TwnhsE,Gd,[1437-1795],0,2,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,TA,[1437-1795],[1213-1414],4,E2
1Fam,TA,[1078-1436],[809-1010],3,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,Gd,[1437-1795],[607-808],4,E2
1Fam,Gd,[1437-1795],0,2,E2
1Fam,Gd,[719-1077],[809-1010],3,E2
1Fam,Gd,[1437-1795],0,2,E2
1Fam,Gd,[1437-1795],0,3,E2
1Fam,Gd,[719-1077],[1011-1212],3,E2
1Fam,Gd,[1437-1795],[1011-1212],3,E2
1Fam,Gd,[1437-1795],[607-808],4,E2
TwnhsE,Gd,[1437-1795],0,2,E3
1Fam,Gd,[1437-1795],0,3,E3
1Fam,Gd,[1796-2154],0,3,E3
1Fam,Gd,[1078-1436],[1213-1414],4,E3
1Fam,Gd,[1437-1795],0,3,E3
1Fam,Gd,[719-1077],[1011-1212],3,E3
1Fam,Gd,[1437-1795],0,3,E3
1Fam,Gd,[1796-2154],[607-808],4,E3
TwnhsE,Gd,[1437-1795],0,0,E3
1Fam,Gd,[719-1077],[1011-1212],3,E3
1Fam,Gd,[1437-1795],0,3,E3
1Fam,TA,[1796-2154],0,1,E3
1Fam,Gd,[1078-1436],[1213-1414],4,E3
1Fam,Gd,[1078-1436],[1011-1212],4,E3
1Fam,TA,[1437-1795],[1617-1818],3,E3
1Fam,Gd,[1437-1795],0,3,E3
1Fam,Gd,[1437-1795],0,3,E3
1Fam,Ex,[1078-1436],[1415-1616],4,E3
1Fam,Gd,[1796-2154],0,2,E3
1Fam,TA,[1796-2154],0,2,E3
1Fam,Gd,[1437-1795],[1213-1414],4,E3
1Fam,Gd,[1078-1436],[1415-1616],4,E3
1Fam,Gd,[1796-2154],0,3,E3
1Fam,Gd,[1078-1436],[1213-1414],4,E3
1Fam,Ex,[719-1077],[809-1010],3,E3
1Fam,Ex,[1796-2154],0,2,E3
1Fam,Gd,[1078-1436],[1011-1212],3,E3
1Fam,Gd,[1078-1436],[1213-1414],4,E3
1Fam,Gd,[1796-2154],0,3,E3
TwnhsE,Ex,[1437-1795],0,2,E3
1Fam,TA,[1437-1795],[1415-1616],5,E3
1Fam,Ex,[1437-1795],0,3,E3
1Fam,Gd,[1437-1795],0,2,E3
1Fam,Gd,[1078-1436],[1213-1414],4,E3
1Fam,Gd,[1437-1795],[405-606],3,E3
1Fam,Gd,[1796-2154],0,3,E3
1Fam,Gd,[1078-1436],[809-1010],3,E3
TwnhsE,Gd,[1437-1795],0,2,E3
1Fam,Ex,[1078-1436],[1011-1212],3,E3
1Fam,Gd,[1078-1436],[1011-1212],3,E3
1Fam,Ex,[1437-1795],0,3,E3
1Fam,Gd,[1437-1795],[809-1010],4,E3
1Fam,Gd,[1078-1436],[1011-1212],3,E3
1Fam,Ex,[1078-1436],[1011-1212],4,E3
1Fam,Gd,[1437-1795],[607-808],4,E3
1Fam,Gd,[1796-2154],0,3,E3
1Fam,Ex,[1078-1436],[1213-1414],4,E3
TwnhsE,Ex,[1437-1795],0,1,E3
1Fam,Gd,[1796-2154],0,2,E3
1Fam,Ex,[1437-1795],0,2,E3
1Fam,TA,[1796-2154],0,3,E3
1Fam,Ex,[1437-1795],0,3,E3
1Fam,Ex,[1796-2154],0,3,E3
1Fam,TA,[1796-2154],[1415-1616],4,E3
1Fam,Gd,[1078-1436],[1213-1414],4,E3
1Fam,Ex,[2155-2513],0,3,E3
TwnhsE,Ex,[1437-1795],0,2,E3
1Fam,Ex,[1796-2154],0,2,E3
1Fam,Gd,[1437-1795],[1213-1414],4,E3
1Fam,Ex,[1437-1795],[405-606],3,E3
1Fam,Gd,[2873-3231],0,4,E3
1Fam,Ex,[1796-2154],[809-1010],4,E3
1Fam,Ex,[1078-1436],[1415-1616],3,E3
1Fam,Gd,[1796-2154],0,2,E3
1Fam,Ex,[1437-1795],[1213-1414],3,E3
1Fam,Ex,[1796-2154],0,2,E3
1Fam,Ex,[2514-2872],0,2,E3
1Fam,Gd,[1437-1795],[1415-1616],4,E3
1Fam,Ex,[1796-2154],[1011-1212],4,E3
1Fam,Ex,[2155-2513],0,2,E3
1Fam,Gd,[1796-2154],[809-1010],4,E3

