HouseStyle,Foundation,Electrical,FullBath,HalfBath
2Story,PConc,SBrkr,2,1,E2
1Story,PConc,SBrkr,2,0,E2
1Story,PConc,SBrkr,2,0,E2
1Story,PConc,SBrkr,2,0,E2
2Story,PConc,SBrkr,2,1,E2
1Story,PConc,SBrkr,2,0,E2
2Story,PConc,SBrkr,2,1,E2
2Story,PConc,SBrkr,2,1,E2
2Story,PConc,SBrkr,2,1,E2
2Story,PConc,SBrkr,2,1,E2
2Story,PConc,SBrkr,2,1,E2
1Story,PConc,SBrkr,2,0,E2
2Story,PConc,SBrkr,2,1,E2
2Story,PConc,SBrkr,2,1,E2
1Story,PConc,SBrkr,1,1,E2
1Story,PConc,SBrkr,2,0,E2
2Story,CBlock,SBrkr,2,1,E2
2Story,PConc,SBrkr,2,1,E2
1Story,PConc,SBrkr,2,0,E2
SLvl,CBlock,SBrkr,2,0,E2
SLvl,PConc,SBrkr,2,0,E2
2Story,PConc,SBrkr,2,1,E2
1Story,PConc,SBrkr,2,0,E2
1Story,PConc,SBrkr,2,0,E2
2Story,PConc,SBrkr,2,1,E2
2Story,PConc,SBrkr,2,1,E2
1.5Fin,CBlock,SBrkr,2,0,E2
1Story,PConc,SBrkr,2,0,E3
1Story,PConc,SBrkr,2,0,E3
1Story,PConc,SBrkr,2,0,E3
2Story,PConc,SBrkr,2,1,E3
1Story,PConc,SBrkr,2,0,E3
2Story,PConc,SBrkr,2,1,E3
1Story,PConc,SBrkr,2,0,E3
1.5Fin,PConc,SBrkr,2,1,E3
1Story,PConc,SBrkr,1,1,E3
2Story,PConc,SBrkr,2,1,E3
1Story,PConc,SBrkr,2,0,E3
1Story,CBlock,SBrkr,2,0,E3
2Story,PConc,SBrkr,2,1,E3
2Story,PConc,SBrkr,2,1,E3
2.5Fin,BrkTil,SBrkr,3,0,E3
1Story,PConc,SBrkr,2,0,E3
1Story,PConc,SBrkr,2,0,E3
2Story,CBlock,SBrkr,3,1,E3
1Story,PConc,SBrkr,2,0,E3
1Story,CBlock,SBrkr,2,0,E3
2Story,PConc,SBrkr,2,1,E3
2Story,PConc,SBrkr,2,1,E3
1Story,PConc,SBrkr,2,0,E3
2Story,PConc,SBrkr,3,1,E3
2Story,PConc,SBrkr,2,1,E3
1Story,PConc,SBrkr,2,0,E3
2Story,PConc,SBrkr,2,1,E3
2Story,PConc,SBrkr,2,1,E3
1Story,PConc,SBrkr,2,0,E3
1Story,PConc,SBrkr,2,0,E3
2Story,PConc,SBrkr,3,0,E3
1Story,PConc,SBrkr,2,0,E3
1Story,PConc,SBrkr,2,0,E3
2Story,PConc,SBrkr,3,1,E3
2Story,PConc,SBrkr,1,1,E3
1Story,PConc,SBrkr,2,0,E3
2Story,PConc,SBrkr,2,1,E3
1Story,PConc,SBrkr,2,0,E3
2Story,PConc,SBrkr,2,1,E3
2Story,PConc,SBrkr,2,1,E3
1Story,PConc,SBrkr,2,0,E3
2Story,PConc,SBrkr,3,0,E3
2Story,PConc,SBrkr,2,1,E3
2Story,PConc,SBrkr,3,0,E3
2Story,PConc,SBrkr,2,1,E3
1Story,PConc,SBrkr,2,0,E3
2Story,PConc,SBrkr,2,1,E3
1Story,PConc,SBrkr,1,1,E3
1Story,PConc,SBrkr,2,0,E3
1Story,PConc,SBrkr,2,1,E3
1Story,CBlock,SBrkr,2,0,E3
1Story,PConc,SBrkr,2,0,E3
1Story,PConc,SBrkr,2,0,E3
1.5Fin,CBlock,SBrkr,3,1,E3
2Story,PConc,SBrkr,2,1,E3
1Story,PConc,SBrkr,2,0,E3
1Story,PConc,SBrkr,2,0,E3
1Story,PConc,SBrkr,2,0,E3
2Story,PConc,SBrkr,2,1,E3
2Story,PConc,SBrkr,2,1,E3
1Story,PConc,SBrkr,3,0,E3
2Story,PConc,SBrkr,2,1,E3
2Story,PConc,SBrkr,3,1,E3
1Story,PConc,SBrkr,2,0,E3
2Story,PConc,SBrkr,2,1,E3
1Story,PConc,SBrkr,2,1,E3
1Story,PConc,SBrkr,2,1,E3
2.5Fin,BrkTil,SBrkr,2,1,E3
2Story,PConc,SBrkr,3,1,E3
1Story,PConc,SBrkr,2,0,E3
2Story,PConc,SBrkr,3,1,E3

